date,precip,temp_avg,temp_min,precip_5days_sum,precip_10days_sum,daily_index,cumulative_index
2025-01-22,0.02048315612131413,12.025964599385532,6.896008224007517,0.0,0.0,0,0
2025-01-23,0.0,11.439724130850436,4.8754135611672496,0.02048315612131413,0.02048315612131413,0,0
2025-01-24,3.234096035012589,11.663374297423957,5.677653992850821,0.02048315612131413,0.02048315612131413,0,0
2025-01-25,3.9947341355072354,11.832930481309006,5.923668090052615,3.254579191133903,3.254579191133903,0,0
2025-01-26,0.0,11.574575554549881,8.139301266460336,7.249313326641138,7.249313326641138,0,0
2025-01-27,27.211734783630845,11.458719995686636,8.188355586213902,7.249313326641138,7.249313326641138,1,1
2025-01-28,0.0,10.846256718345671,8.808690619318782,34.440564954150666,34.46104811027198,2,3
2025-01-29,0.0,10.937054502539127,8.865736801819253,34.44056495415067,34.46104811027198,2,5
2025-01-30,21.882652645735956,10.414055240879065,6.362853850358761,31.206468919138082,34.46104811027198,2,7
2025-01-31,21.882652645735956,11.561337003567985,3.624654268468703,49.094387429366805,56.343700756007934,2,9
2025-02-01,4.214767929172367,12.160951072964735,8.642563288466818,70.97704007510276,78.22635340174389,2,11
2025-02-02,0.0,11.667178878144455,7.894145212233525,47.98007322064428,82.42063817479495,0,11
2025-02-03,0.0,11.918846152763535,6.045166245946348,47.98007322064428,82.42063817479495,2,13
2025-02-04,0.0,11.33384665243284,5.52382812500008,47.98007322064428,79.18654213978236,2,15
2025-02-05,0.0,11.560518671031843,4.0481572565042825,26.097420574908323,75.19180800427512,0,15
2025-02-06,2.1393725288081655,11.512744598068764,4.420663260214042,4.214767929172367,75.19180800427512,0,15
2025-02-07,0.14060624118156256,11.460433994349216,6.188519306302794,2.1393725288081655,50.11944574945244,0,15
2025-02-08,0.007100708678062547,11.971983878017738,6.05179095958016,2.2799787699897283,50.260051990634,0,15
2025-02-09,0.00011946715402900706,12.690476222008328,6.891558799503798,2.2870794786677906,50.267152699312064,0,15
2025-02-10,0.004918501722552289,11.91342846692487,5.231095070509014,2.2871989458218196,28.384619520730137,0,15
2025-02-11,0.0,11.583742923856562,5.3696952579906565,2.292117447544372,6.506885376716735,0,15
2025-02-12,0.0,11.506193567272021,5.003795926076066,0.1527449187362064,2.2921174475443684,0,15
2025-02-13,0.0,11.659486641074182,5.433032284142882,0.012138677554643844,2.2921174475443684,0,15
2025-02-14,0.0,12.578099775014437,7.661014523296217,0.005037968876581297,2.2921174475443684,0,15
2025-02-15,0.0,12.099001720916306,7.286948572314827,0.004918501722552289,2.2921174475443684,0,15
2025-02-16,8.736976531292086,12.016730796766012,6.525028579040168,0.0,2.2921174475443684,0,15
2025-02-17,0.0,11.943378446886925,6.163974632407189,8.736976531292086,8.88972145002829,0,15
2025-02-18,0.0,12.060936280416513,4.502886924503798,8.736976531292086,8.749115208846728,0,15
2025-02-19,0.0,11.835411082173778,4.9850782862250185,8.736976531292086,8.742014500168665,0,15
2025-02-20,0.0,12.124888828365556,5.666290897393424,8.736976531292086,8.741895033014636,0,15
2025-02-21,0.0,11.663135738892663,4.802091337000036,8.736976531292086,8.736976531292084,0,15
2025-02-22,0.0,11.150939112089532,3.478850397073984,0.0,8.736976531292084,0,15
2025-02-23,0.0,11.633327786427628,4.37319911740866,0.0,8.736976531292084,0,15
2025-02-24,5.136028173003293,11.766518593234366,5.2564829124594326,0.0,8.736976531292084,0,15
2025-02-25,0.0,11.252208412218408,4.266466862900529,5.136028173003293,13.873004704295377,0,15
2025-02-26,2.8196257652058132e-05,11.521276720314972,4.59140958965952,5.136028173003293,13.873004704295377,0,15
2025-02-27,0.0,12.211370798426856,4.630388790106679,5.136056369260945,5.1360563692609436,0,15
2025-02-28,0.4086140477899084,12.526803220992804,5.06436804045677,5.136056369260945,5.1360563692609436,0,15
2025-03-01,0.0,12.924155663544298,5.723558284351668,5.544670417050853,5.544670417050852,0,15
2025-03-02,0.0,12.471489266929382,6.045727846157661,0.40864224404756044,5.544670417050852,0,15
2025-03-03,0.0,12.591493656950206,5.324075797218995,0.40864224404756044,5.544670417050852,0,15
2025-03-04,0.0,12.427031665378195,5.881944706754894,0.4086140477899084,5.544670417050852,0,15
2025-03-05,0.0,12.603225826367463,5.956955186376035,0.4086140477899084,5.544670417050852,0,15
2025-03-06,0.0,12.990302138258585,5.619697177335183,0.0,5.544670417050852,0,15
2025-03-07,0.0,13.688905418444051,5.950793898480526,0.0,0.40864224404755867,0,15
2025-03-08,0.0,13.482137638467975,8.798403988244445,0.0,0.40864224404755867,0,15
2025-03-09,2.780761531288278,13.0754088499761,8.93453215593064,0.0,0.4086140477899066,1,16
2025-03-10,78.52550407207328,11.165987668947139,9.831988199102057,2.780761531288278,3.1893755790781846,1,17
2025-03-11,13.04504251405713,12.581946869216438,8.725977426205077,81.30626560336155,81.30626560336155,2,19
2025-03-12,17.56081897717742,12.271902434630988,7.573652581748718,94.35130811741868,94.35130811741868,2,21
2025-03-13,11.570251732646211,11.927585400275461,6.159364750700206,111.9121270945961,111.9121270945961,2,23
2025-03-14,0.0,13.42090928419583,6.923340266005823,123.48237882724231,123.48237882724231,2,25
2025-03-15,0.0,13.029150435409747,6.748823000350171,120.70161729595404,123.48237882724231,2,27
2025-03-16,1.783927792505987,12.841236888637638,7.784497473374927,42.17611322388076,123.48237882724231,2,29
2025-03-17,0.0,12.17098943682339,7.502114100426297,30.914998502329617,125.2663066197483,2,31
2025-03-18,0.0,12.194960894474775,8.076399259747234,13.354179525152198,125.2663066197483,1,32
2025-03-19,0.0,11.502240493262605,7.831562488483939,1.783927792505987,125.2663066197483,0,32
2025-03-20,0.0,11.0109010316541,7.603106651066241,1.783927792505987,122.48554508846003,0,32
2025-03-21,0.0,12.288130928535452,7.042826181087889,1.783927792505987,43.96004101638675,0,32
2025-03-22,0.0,11.989470154384435,6.692282853036545,0.0,30.914998502329617,0,32
2025-03-23,0.0,12.147274799466913,7.185168034775472,0.0,13.354179525152198,0,32
2025-03-24,0.0,11.693038219076072,6.584234887848879,0.0,1.783927792505987,0,32
2025-03-25,0.0,12.207135628754315,7.172031368999399,0.0,1.783927792505987,0,32
2025-03-26,18.207325627390944,11.490721323105276,8.409903510711501,0.0,1.783927792505987,1,33
2025-03-27,24.421736150375583,11.749366746658609,8.37280277276193,18.207325627390944,18.207325627390944,1,34
2025-03-28,0.5504431702231468,11.47431148712991,9.405755903136082,42.62906177776652,42.62906177776652,2,36
2025-03-29,38.72305413899296,11.322894676576425,8.511424073033425,43.17950494798967,43.17950494798967,2,38
2025-03-30,0.16670749563136822,11.650433644708642,8.322749722078981,81.90255908698262,81.90255908698262,0,38
2025-03-31,0.0,11.687938024812809,8.427986807193406,82.06926658261399,82.06926658261399,0,38
2025-04-01,0.0,11.85517645621951,6.556913786114421,63.861940955223055,82.06926658261399,2,40
2025-04-02,0.0,11.884424391932498,6.370977284173534,39.44020480484747,82.06926658261399,2,42
2025-04-03,0.0,12.244658998373438,7.607619605874163,38.88976163462433,82.06926658261399,2,44
2025-04-04,0.19452641051198688,12.028450258522923,8.445323478650778,0.16670749563136822,82.06926658261399,0,44
2025-04-05,46.42634503369027,12.21750400791126,9.750634381756129,0.19452641051198688,82.26379299312599,1,45
2025-04-06,2.178495433884738,11.473392996798054,9.791125641828842,46.62087144420226,110.48281239942531,2,47
2025-04-07,0.0,12.185020845041379,7.69876937386374,48.799366878087,88.23957168293447,2,49
2025-04-08,0.0,11.880493502347008,5.6621523107372695,48.799366878087,87.68912851271132,2,51
2025-04-09,86.11290926048052,12.99321701481665,9.06674351722188,48.799366878087,48.966074373718364,2,53
2025-04-10,9.593497009991484,11.717051842327692,8.60579382938414,134.71774972805554,134.9122761385675,2,55
2025-04-11,0.0,11.66521200983783,6.8919637812009,97.88490170435674,144.505773148559,2,57
2025-04-12,0.0,12.013786518248878,8.225889136356386,95.706406270472,144.505773148559,2,59
2025-04-13,1.3717753132122357,11.108150612533223,9.353000319378907,95.706406270472,144.505773148559,2,61
2025-04-14,34.59457572425212,11.997542389683758,8.572797129888954,97.07818158368424,145.87754846177123,2,63
2025-04-15,0.0,12.402174610161978,8.467389415045204,45.55984804745584,180.27759777551137,2,65
2025-04-16,0.0,12.519058489849499,8.409143642209699,35.96635103746435,133.8512527418211,2,67
2025-04-17,0.0,12.296780694605616,7.203782030021671,35.96635103746435,131.67275730793637,2,69
2025-04-18,10.383808149376451,11.999945253096314,9.66150981015386,35.96635103746435,131.67275730793637,2,71
2025-04-19,21.315145941866728,11.646289739868735,9.49072202286635,44.978383873628566,142.05656545731281,1,72
2025-04-20,9.836278483945755,11.544847414828439,9.666314121462335,31.69895409124318,77.25880213869902,2,74
2025-04-21,5.774305917915427,10.822488343340808,8.083970977975127,41.535232575188935,77.5015836126533,2,76
2025-04-22,0.0,11.601857753569732,8.673202553035367,47.30953849310436,83.27588953056873,0,76
2025-04-23,0.0,10.835159292161165,8.497864575655967,47.30953849310436,83.27588953056873,2,78
2025-04-24,0.0,11.194485500823532,8.226751209954784,36.92573034372791,81.9041142173565,2,80
2025-04-25,0.0,11.641766912432388,8.073240210575136,15.610584401861182,47.30953849310438,0,80
2025-04-26,0.0,11.91564728518955,6.193946540880518,5.774305917915427,47.30953849310438,0,80
2025-04-27,0.0,11.570051071678847,6.705536886731068,0.0,47.30953849310438,0,80
2025-04-28,0.0,11.955015528776869,6.30873476424307,0.0,47.30953849310438,0,80
2025-04-29,0.0,11.803923211407607,7.383707432776873,0.0,36.92573034372793,0,80
2025-04-30,27.437307390519496,12.056583330966248,8.782087640342468,0.0,15.610584401861196,1,81
2025-05-01,0.0,12.485686382557674,8.663679341250258,27.437307390519496,33.211613308434934,2,83
2025-05-02,0.0,12.193859766514379,7.4316213739743375,27.437307390519496,27.43730739051951,2,85
2025-05-03,0.0,11.551184470698558,6.374262434281661,27.437307390519496,27.43730739051951,0,85
2025-05-04,39.8731624228348,11.358173608679976,8.437917591790779,27.437307390519496,27.43730739051951,2,87
2025-05-05,9.000315152910682,11.433745916434532,9.347230289867127,67.3104698133543,67.31046981335432,2,89
2025-05-06,11.2173791742548,11.595930441770406,9.033343947308708,48.87347757574548,76.31078496626499,2,91
2025-05-07,18.882132891745723,11.142007198373733,7.6967164429478885,60.090856750000285,87.52816414051979,2,93
2025-05-08,16.624219692069545,11.06134613245041,9.177429813408992,78.97298964174601,106.41029703226552,2,95
2025-05-09,30.573266929471735,11.202262193052036,8.188554910144035,95.59720933381556,123.03451672433506,2,97
2025-05-10,18.15831821459504,11.362471716858863,7.525431545425533,86.29731384045247,153.6077836538068,2,99
2025-05-11,0.0,11.373664638431364,8.17639048834269,95.45531690213683,144.32879447788235,2,101
2025-05-12,0.0,11.443219013334101,6.943603362077511,84.23793772788204,144.32879447788235,2,103
2025-05-13,0.0,11.375314686933166,8.509975639679226,65.35580483613631,144.32879447788235,2,105
2025-05-14,0.0,11.58822848401985,8.726692669946488,48.73158514406677,144.32879447788235,2,107
2025-05-15,0.0,11.70429498284625,7.890606228810441,18.158318214595035,104.45563205504753,1,108
2025-05-16,3.4188854233151105,11.921960217298022,8.045232943169026,0.0,95.45531690213684,1,109
2025-05-17,1.7951915799734561,11.750975125390823,8.47495105671436,3.4188854233151034,87.65682315119716,1,110
2025-05-18,3.3796044526717592,11.436848556870473,8.09973388288006,5.214077003288559,70.5698818394249,1,111
2025-05-19,8.136068959317972,11.752054376822116,8.718996194323665,8.593681455960319,57.32526660002711,1,112
2025-05-20,9.025672263176691,11.845053253333845,9.293051512136401,16.72975041527829,34.888068629873345,1,113
2025-05-21,24.79200720824243,12.12160758092466,8.530109947732456,25.755422678454984,25.755422678454998,2,115
2025-05-22,0.0,11.74662955741968,8.399800752843703,47.128544463382305,50.54742988669743,2,117
2025-05-23,0.0,10.918412772764498,7.842119651170663,45.33335288340885,50.54742988669743,2,119
2025-05-24,0.0,11.946622778934511,8.029152290776096,41.95374843073709,50.54742988669743,2,121
2025-05-25,0.0,11.796102270290305,8.038965227618974,33.81767947141912,50.54742988669743,2,123
2025-05-26,0.0,11.160954667737144,6.249735072873705,24.792007208242424,50.54742988669743,0,123
2025-05-27,0.0,11.404934711576288,8.256303549712527,0.0,47.12854446338232,0,123
2025-05-28,0.0,11.204001331129462,7.976062645102502,0.0,45.333352883408864,0,123
2025-05-29,0.0,11.47216282090801,8.27607558148469,0.0,41.95374843073711,0,123
